#{"t_start": 1736528470.7258098, "env_id": "footsteps-planning-any-withball-v0"}
r,l,t
-56.53743,50,157.834054
-54.756291,50,158.932686
-57.16882,50,159.921445
-55.607187,50,160.924803
-55.468051,50,161.94957
-53.483781,50,162.940532
-56.146992,50,163.909495
-58.173314,50,165.284466
-54.642942,50,166.262123
-57.876608,50,167.224421
-57.037101,50,168.150355
-55.715257,50,169.114388
-55.952612,50,170.102324
-54.698703,50,171.086071
-54.439367,50,172.07749
-58.307442,50,173.049357
-56.282004,50,174.020159
-54.218632,50,174.979621
-54.075016,50,175.927764
-56.393635,50,176.905738
-54.029855,50,177.902769
-56.583752,50,178.89408
-52.919707,50,179.879448
-55.563066,50,180.863979
-55.008609,50,181.811782
-57.468591,50,182.803398
-54.5604,50,183.771039
-55.431017,50,184.739505
-57.395249,50,185.710855
-56.792303,50,186.682336
-54.743169,50,187.643975
-53.92005,50,188.588277
-57.975528,50,189.61827
-54.486886,50,190.615749
-56.429942,50,191.638337
-53.988483,50,192.580784
-52.104689,50,193.64068
-56.151477,50,194.610463
-55.56444,50,195.680598
-53.481384,50,196.633087
-57.631237,50,197.603979
-54.073501,50,198.635549
-54.890653,50,199.625826
-55.286873,50,200.63848
-56.921634,50,201.587947
-55.448961,50,202.587295
-53.499413,50,203.553521
-56.603101,50,204.56073
-55.302444,50,205.552299
-53.795205,50,206.534012
-57.143765,50,207.50798
-55.551559,50,208.527241
-54.163568,50,209.484703
-53.660716,50,210.432331
-55.400405,50,211.429565
-57.128593,50,212.407234
-53.493334,50,213.358902
-52.638158,50,214.337147
-53.088518,50,215.702764
-56.643532,50,216.669338
-58.570591,50,217.628756
-57.18467,50,218.575129
-53.525878,50,219.562545
-59.106539,50,220.540377
-54.76184,50,221.511256
-58.536713,50,222.458974
-56.830857,50,223.425975
-56.1104,50,224.417032
-55.212863,50,225.480361
-53.601526,50,226.566324
-55.907585,50,227.557967
-57.630935,50,228.540466
-59.311112,50,229.543293
-62.348535,50,230.611057
-53.891749,50,231.56244
-52.522446,50,232.552301
-55.419129,50,233.521377
-54.214527,50,234.49846
-52.286082,50,235.465094
-54.338644,50,236.427315
-56.270891,50,237.3959
-53.33584,50,238.394855
-54.505544,50,239.401793
-53.473202,50,240.389596
-58.075778,50,241.334932
-58.097319,50,242.294971
-53.003201,50,243.263028
-54.396263,50,244.227526
-52.264827,50,245.208726
-56.401687,50,246.192061
-53.346054,50,247.258934
-52.237628,50,248.213201
-52.502526,50,249.176295
-52.598482,50,250.136612
-53.595501,50,251.07194
-52.599648,50,252.055293
-58.342742,50,253.022525
-57.962612,50,254.01385
-53.434234,50,254.958419
-53.073808,50,255.926255
-53.662106,50,256.872956
-56.893517,50,257.823102
-52.495052,50,258.758076
-53.5219,50,259.725981
-56.633424,50,260.670211
-54.715266,50,261.599336
-54.176698,50,262.562408
-54.896949,50,263.576693
-57.429815,50,264.554064
-53.929665,50,265.519391
-55.269766,50,266.52958
-57.794021,50,267.85777
-53.98823,50,268.857854
-53.688585,50,269.860497
-53.669024,50,270.832976
-54.157519,50,271.790902
-53.379412,50,272.807119
-54.566105,50,273.793383
-54.773982,50,274.759322
-53.688698,50,275.746408
-56.1517,50,276.748442
-52.778456,50,277.714638
-53.485981,50,278.690876
-54.106213,50,279.655477
-55.987176,50,280.649032
-53.719231,50,281.632786
-52.848388,50,282.601765
-55.932911,50,283.60855
-56.758243,50,284.554025
-56.351389,50,285.472562
-54.360016,50,286.4039
-56.193296,50,287.339991
-56.491395,50,288.300264
-56.794272,50,289.354152
-56.706897,50,290.305669
-56.257768,50,291.232198
-55.46988,50,292.217821
-56.875973,50,293.177857
-53.650459,50,294.157336
-52.875418,50,295.134353
-52.938118,50,296.112494
-53.743893,50,297.035859
-54.806611,50,298.039166
-56.57234,50,299.019465
-57.281175,50,299.994097
-52.342452,50,300.973133
-54.652649,50,301.905174
-52.65244,50,302.873733
-55.794465,50,303.821556
-54.470146,50,304.793292
-56.278441,50,305.775846
-53.466417,50,306.749972
-54.683431,50,307.724539
-54.181132,50,308.975917
-56.022837,50,309.970673
-53.153647,50,310.934374
-53.66347,50,311.912556
-56.401119,50,312.864026
-54.904915,50,313.809076
-52.262706,50,314.743562
-54.286846,50,315.735389
-52.920771,50,316.689959
-56.394962,50,318.052038
-55.553988,50,319.017001
-52.585233,50,319.964049
-56.752738,50,320.921931
-107.554663,50,321.829116
-55.663497,50,322.7693
-52.787389,50,323.690701
-51.731569,50,324.661737
-54.596534,50,325.634623
-52.447067,50,326.685674
-59.192966,50,327.643112
-52.044554,50,328.623686
